Trend,SQZMOM 1 Momentum,SQZMOM 1 Squeeze,SQZMOM 2 Momentum,SQZMOM 2 Squeeze,Bar 1,Bar 2,Raw Position,Final Position,Score,match_count,p_reach_1.61_UP,p_reach_1.61_DOWN,p_reach_2.5_UP,p_reach_2.5_DOWN,p_reach_3.6_UP,p_reach_3.6_DOWN,p_cont_UP_1.61_TO_2.5,p_cont_UP_2.5_TO_3.6,p_cont_UP_1.61_TO_3.6,p_cont_DOWN_1.61_TO_2.5,p_cont_DOWN_2.5_TO_3.6,p_cont_DOWN_1.61_TO_3.6
Long,green,Squeeze OFF (gray),green,Squeeze OFF (gray),Green Bar Line 6,Red Bar Line 5,LONG,LONG,6,16,0.9375,0.8125,0.875,0.75,0.875,0.75,0.8823529411764706,0.9375,0.8823529411764706,0.8666666666666667,0.9285714285714286,0.8666666666666667
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Red Bar Line 3,Red Bar Line 6,SHORT,SHORT,-6,16,0.9375,0.875,0.9375,0.875,0.9375,0.875,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9375,0.9375,0.9375
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Red Bar Line 6,Green Bar Line 6,LONG,LONG,2,15,0.9333333333333333,0.9333333333333333,0.8,0.8666666666666667,0.6,0.6,0.8125,0.7142857142857143,0.625,0.875,0.6666666666666666,0.625
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Red Bar Line 3,Red Bar Line 5,SHORT,SHORT,-6,15,1.0,0.9333333333333333,0.9333333333333333,0.8,0.7333333333333333,0.7333333333333333,0.8823529411764706,0.75,0.7058823529411765,0.8125,0.8571428571428571,0.75
Short,maroon,Squeeze OFF (gray),maroon,Squeeze OFF (gray),Green Bar Line 6,Green Bar Line 6,SHORT,SHORT,-1,15,1.0,0.6,1.0,0.6,1.0,0.4666666666666667,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9090909090909091,0.7272727272727273,0.7272727272727273
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 5,Red Bar Line 5,LONG,LONG,6,15,1.0,0.9333333333333333,1.0,0.8,0.9333333333333333,0.7333333333333333,0.9411764705882353,0.8823529411764706,0.8823529411764706,0.8125,0.8571428571428571,0.75
Long,green,Squeeze OFF (gray),green,Squeeze OFF (gray),Green Bar Line 5,Red Bar Line 6,LONG,LONG,4,14,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7857142857142857,0.7142857142857143,0.7857142857142857,0.7857142857142857,0.9166666666666666,0.7857142857142857,0.8571428571428571,0.9230769230769231,0.8571428571428571
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 5,Green Bar Line 4,LONG,LONG,6,14,0.9285714285714286,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.6428571428571429,0.6428571428571429,0.8666666666666667,0.7142857142857143,0.6666666666666666,0.7857142857142857,0.8333333333333334,0.7142857142857143
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 6,Red Bar Line 1,LONG,LONG,6,14,0.9285714285714286,0.7857142857142857,0.7857142857142857,0.5714285714285714,0.6428571428571429,0.35714285714285715,0.8,0.7692307692307693,0.6666666666666666,0.6923076923076923,0.6,0.46153846153846156
Short,maroon,Squeeze OFF (gray),red,Squeeze OFF (gray),Green Bar Line 6,Green Bar Line 6,SHORT,SHORT,-6,14,0.9285714285714286,0.7857142857142857,0.8571428571428571,0.5714285714285714,0.6428571428571429,0.35714285714285715,0.8666666666666667,0.7142857142857143,0.6666666666666666,0.6923076923076923,0.6,0.46153846153846156
Long,lime,Squeeze OFF (gray),lime,Squeeze ON (black),Green Bar Line 6,Green Bar Line 6,LONG,LONG,6,14,1.0,0.42857142857142855,0.9285714285714286,0.35714285714285715,0.8571428571428571,0.14285714285714285,0.875,0.8666666666666667,0.8125,0.75,0.42857142857142855,0.375
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Red Bar Line 5,Green Bar Line 5,LONG,LONG,6,13,0.8461538461538461,0.9230769230769231,0.7692307692307693,0.9230769230769231,0.7692307692307693,0.7692307692307693,0.8461538461538461,0.9166666666666666,0.8461538461538461,0.9285714285714286,0.7857142857142857,0.7857142857142857
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 5,Green Bar Line 6,LONG,NO TRADE,6,13,0.6153846153846154,0.8461538461538461,0.5384615384615384,0.6153846153846154,0.46153846153846156,0.38461538461538464,0.8,0.7777777777777778,0.7,0.6923076923076923,0.6,0.46153846153846156
Long,green,Squeeze OFF (gray),green,Squeeze OFF (gray),Red Bar Line 6,Red Bar Line 6,LONG,LONG,4,13,1.0,0.7692307692307693,0.9230769230769231,0.6923076923076923,0.9230769230769231,0.6153846153846154,0.8666666666666667,0.9285714285714286,0.8666666666666667,0.8333333333333334,0.8181818181818182,0.75
Long,green,Squeeze OFF (gray),green,Squeeze OFF (gray),Red Bar Line 3,Green Bar Line 6,LONG,LONG,4,13,1.0,0.9230769230769231,1.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9333333333333333,0.8666666666666667,0.8666666666666667,0.9285714285714286,0.9285714285714286,0.9285714285714286
